"Indicador","Fuente","País","Año","Valor","Unidad"
"Capacidad instalada por fuente","Térmica no renovable","América del Sur","2010","74340.116828244","MW"
"Capacidad instalada por fuente","Nuclear","América del Sur","2010","3012","MW"
"Capacidad instalada por fuente","Geotermia","América del Sur","2010","0","MW"
"Capacidad instalada por fuente","Eólica","América del Sur","2010","1154.814333","MW"
"Capacidad instalada por fuente","Solar","América del Sur","2010","3.3580439","MW"
"Capacidad instalada por fuente","Otros","América del Sur","2010","0","MW"
"Capacidad instalada por fuente","Térmica renovable","América del Sur","2010","8526.686","MW"
"Capacidad instalada por fuente","Total","América del Sur","2010","223600.36340514","MW"
"Capacidad instalada por fuente","Hidro","América del Sur","2011","139806.43825","MW"
"Capacidad instalada por fuente","Térmica no renovable","América del Sur","2011","77423.561798583","MW"
"Capacidad instalada por fuente","Nuclear","América del Sur","2011","3012","MW"
"Capacidad instalada por fuente","Geotermia","América del Sur","2011","0","MW"
"Capacidad instalada por fuente","Eólica","América del Sur","2011","1693.533133","MW"
"Capacidad instalada por fuente","Solar","América del Sur","2011","6.042948","MW"
"Capacidad instalada por fuente","Otros","América del Sur","2011","0","MW"
"Capacidad instalada por fuente","Térmica renovable","América del Sur","2011","9728.7659481943","MW"
"Capacidad instalada por fuente","Total","América del Sur","2011","231670.34207778","MW"
"Capacidad instalada por fuente","Hidro","América del Sur","2012","142532.6843","MW"
"Capacidad instalada por fuente","Térmica no renovable","América del Sur","2012","83354.871467627","MW"
"Capacidad instalada por fuente","Nuclear","América del Sur","2012","3012","MW"
"Capacidad instalada por fuente","Geotermia","América del Sur","2012","0","MW"
"Capacidad instalada por fuente","Eólica","América del Sur","2012","2302.75756","MW"
"Capacidad instalada por fuente","Solar","América del Sur","2012","94.3602168","MW"
"Capacidad instalada por fuente","Otros","América del Sur","2012","0","MW"
